id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_tanah_longsor,satuan,tahun
236,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KEJADIAN,2020
237,32,JAWA BARAT,3273,KOTA BANDUNG,5,KEJADIAN,2020
238,32,JAWA BARAT,3274,KOTA CIREBON,3,KEJADIAN,2020
239,32,JAWA BARAT,3275,KOTA BEKASI,0,KEJADIAN,2020
240,32,JAWA BARAT,3276,KOTA DEPOK,6,KEJADIAN,2020
241,32,JAWA BARAT,3277,KOTA CIMAHI,1,KEJADIAN,2020
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,KEJADIAN,2020
243,32,JAWA BARAT,3279,KOTA BANJAR,15,KEJADIAN,2020
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,354,KEJADIAN,2021
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,286,KEJADIAN,2021
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,29,KEJADIAN,2021
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,52,KEJADIAN,2021
248,32,JAWA BARAT,3205,KABUPATEN GARUT,54,KEJADIAN,2021
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7,KEJADIAN,2021
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,89,KEJADIAN,2021
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,47,KEJADIAN,2021
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,6,KEJADIAN,2021
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,77,KEJADIAN,2021
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,84,KEJADIAN,2021
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,KEJADIAN,2021
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,46,KEJADIAN,2021
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,18,KEJADIAN,2021
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7,KEJADIAN,2021
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,3,KEJADIAN,2021
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,53,KEJADIAN,2021
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3,KEJADIAN,2021
262,32,JAWA BARAT,3271,KOTA BOGOR,150,KEJADIAN,2021
263,32,JAWA BARAT,3272,KOTA SUKABUMI,2,KEJADIAN,2021
264,32,JAWA BARAT,3273,KOTA BANDUNG,5,KEJADIAN,2021
265,32,JAWA BARAT,3274,KOTA CIREBON,2,KEJADIAN,2021
266,32,JAWA BARAT,3275,KOTA BEKASI,2,KEJADIAN,2021
267,32,JAWA BARAT,3276,KOTA DEPOK,2,KEJADIAN,2021
268,32,JAWA BARAT,3277,KOTA CIMAHI,3,KEJADIAN,2021
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,KEJADIAN,2021
270,32,JAWA BARAT,3279,KOTA BANJAR,3,KEJADIAN,2021
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,103,KEJADIAN,2022
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,96,KEJADIAN,2022
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,32,KEJADIAN,2022
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,29,KEJADIAN,2022
275,32,JAWA BARAT,3205,KABUPATEN GARUT,28,KEJADIAN,2022
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8,KEJADIAN,2022
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,35,KEJADIAN,2022
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18,KEJADIAN,2022
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,2,KEJADIAN,2022
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,25,KEJADIAN,2022
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,21,KEJADIAN,2022
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,KEJADIAN,2022
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,9,KEJADIAN,2022
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13,KEJADIAN,2022
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2,KEJADIAN,2022
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,2,KEJADIAN,2022
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,46,KEJADIAN,2022
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4,KEJADIAN,2022
289,32,JAWA BARAT,3271,KOTA BOGOR,40,KEJADIAN,2022
290,32,JAWA BARAT,3272,KOTA SUKABUMI,13,KEJADIAN,2022
291,32,JAWA BARAT,3273,KOTA BANDUNG,1,KEJADIAN,2022
292,32,JAWA BARAT,3274,KOTA CIREBON,1,KEJADIAN,2022
293,32,JAWA BARAT,3275,KOTA BEKASI,3,KEJADIAN,2022
294,32,JAWA BARAT,3276,KOTA DEPOK,1,KEJADIAN,2022
295,32,JAWA BARAT,3277,KOTA CIMAHI,6,KEJADIAN,2022
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,KEJADIAN,2022
297,32,JAWA BARAT,3279,KOTA BANJAR,0,KEJADIAN,2022
298,32,JAWA BARAT,3201,KABUPATEN BOGOR,109,KEJADIAN,2023
299,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,56,KEJADIAN,2023
300,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14,KEJADIAN,2023
